tx_id,timestamp,payer_id,beneficiary_id,amount,payment_system,status,kyc_verified,risk_tier,device_ok,ip,score,reasons,flag,model_version,rule_config_version
TX00001832,2025-12-06T19:06:06.091411,C100224,BEN8679,3798.3,UPI,completed,True,low,True,76.54.132.141,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001171,2025-12-06T19:07:29.091411,C100039,BEN2797,316.31,UPI,completed,True,low,True,10.74.66.164,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003407,2025-12-06T19:07:34.091411,C100316,BEN7557,575.59,UPI,completed,True,low,True,9.50.71.26,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003349,2025-12-06T19:09:51.091411,C100384,BEN2673,78.51,UPI,completed,True,low,True,13.152.172.179,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002283,2025-12-06T19:09:55.091411,C100120,BEN7495,1241.71,UPI,completed,True,high,True,136.225.184.11,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003652,2025-12-06T19:11:44.091411,C100217,BEN5649,1029.83,RTGS,completed,True,medium,True,203.108.78.185,130,"['rtgs_unusual_small_amount', 'sanctions_hit']",STR,deterministic-v1,rules-2025-12-09
TX00002385,2025-12-06T19:11:46.091411,C100134,BEN5644,2431.26,UPI,completed,False,medium,True,171.205.101.77,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000321,2025-12-06T19:12:02.091411,C100218,BEN6292,2168.78,UPI,completed,True,low,True,2.101.50.86,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001138,2025-12-06T19:12:18.091411,C100071,BEN2065,3728.17,UPI,completed,True,medium,True,15.8.95.28,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001907,2025-12-06T19:14:07.091411,C100360,BEN2983,2156.26,UPI,blocked,True,low,False,51.37.210.242,90,['ip_reputation'],High-Risk,deterministic-v1,rules-2025-12-09
TX00002602,2025-12-06T19:15:02.091411,C100372,BEN7630,2443.83,UPI,completed,True,low,True,226.240.131.121,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001426,2025-12-06T19:15:34.091411,C100359,BEN7559,1183.08,UPI,completed,True,low,True,149.96.188.114,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000783,2025-12-06T19:16:43.091411,C100161,BEN3820,46.55,UPI,completed,False,medium,True,166.17.51.119,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000695,2025-12-06T19:16:51.091411,C100221,BEN1976,788.26,UPI,completed,True,medium,True,78.165.58.116,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000444,2025-12-06T19:17:04.091411,C100048,BEN6002,1174.39,UPI,completed,True,low,True,226.20.44.174,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002825,2025-12-06T19:17:31.091411,C100220,BEN9771,264.73,UPI,completed,False,low,True,46.209.214.158,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000817,2025-12-06T19:19:26.091411,C100101,BEN7623,2685.02,UPI,completed,True,low,True,230.172.100.109,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001533,2025-12-06T19:20:04.091411,C100325,BEN2337,6058.4,UPI,completed,True,medium,True,218.123.25.208,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003943,2025-12-06T19:22:05.091411,C100267,BEN6810,1008.03,UPI,blocked,True,low,False,90.109.207.244,190,"['ip_reputation', 'sanctions_hit']",STR,deterministic-v1,rules-2025-12-09
TX00003617,2025-12-06T19:22:25.091411,C100114,BEN3613,3565.33,UPI,completed,True,low,True,181.80.226.26,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001044,2025-12-06T19:22:48.091411,C100034,BEN8641,1038.1,UPI,completed,True,low,True,56.77.31.5,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003013,2025-12-06T19:23:18.091411,C100245,BEN2013,1108.89,UPI,completed,True,low,True,155.190.104.192,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000054,2025-12-06T19:26:11.091411,C100157,BEN2430,4604.3,UPI,completed,True,medium,True,22.186.231.144,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00002603,2025-12-06T19:26:57.091411,C100351,BEN3293,18.75,UPI,completed,False,low,True,75.109.99.19,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003878,2025-12-06T19:27:29.091411,C100356,BEN2008,858.7,UPI,completed,True,low,True,247.148.12.135,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001164,2025-12-06T19:28:53.091411,C100211,BEN7276,1226.29,UPI,completed,True,low,True,82.180.6.158,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003674,2025-12-06T19:29:56.091411,C100315,BEN7017,6623.25,UPI,completed,True,high,True,10.152.108.205,145,"['sanctions_hit', 'dormant_account_spike']",STR,deterministic-v1,rules-2025-12-09
TX00003062,2025-12-06T19:30:41.091411,C100098,BEN2304,2332.29,UPI,completed,True,low,True,222.160.181.66,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000198,2025-12-06T19:32:13.091411,C100125,BEN4401,3127.12,NEFT,completed,False,low,True,173.73.157.170,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002810,2025-12-06T19:34:16.091411,C100338,BEN8741,1029.55,UPI,completed,True,low,True,140.216.38.198,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002814,2025-12-06T19:34:52.091411,C100246,BEN3321,6078.96,UPI,completed,True,low,True,131.243.138.53,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000214,2025-12-06T19:38:58.091411,C100313,BEN5819,1041.65,RTGS,completed,True,low,True,183.98.104.98,30,['rtgs_unusual_small_amount'],Low,deterministic-v1,rules-2025-12-09
TX00003905,2025-12-06T19:39:36.091411,C100264,BEN1807,311.27,UPI,completed,True,low,True,145.246.103.221,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00001329,2025-12-06T19:39:56.091411,C100120,BEN9299,2765.08,UPI,completed,True,high,True,193.1.22.186,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002539,2025-12-06T19:39:56.091411,C100231,BEN4224,538.93,NEFT,completed,True,low,True,238.106.240.77,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003621,2025-12-06T19:42:45.091411,C100360,BEN9723,882.28,UPI,completed,True,low,True,174.48.69.104,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003427,2025-12-06T19:42:48.091411,C100008,BEN1331,2520.87,NEFT,completed,False,low,True,224.108.37.116,0,[],Low,deterministic-v1,rules-2025-12-09
